"วัตถุดิบ","ทุกกี่วัน","สั่งกี่วัน","ร้าน","ยอดรวม","กี่ชื่อ","ล่าสุด","ชื่อทั้งหมด"
"ดอกกะหล่านอก","","1","Freshket","140","1","2026-09-05","Freshket: ดอกกะหล่านอก"
"ทาลลีย์ ถั่วลันเตาแช่แข็ง 1 กก.","","1","GO","139","1","2026-05-26","GO: ทาลลีย์ ถั่วลันเตาแช่แข็ง 1 กก."
"เห็ดชิเมจิขาว แพ็ค 1 กก.","","1","GO","138","1","2026-08-10","GO: เห็ดชิเมจิขาว แพ็ค 1 กก."
"ออตติมา เส้นคาเปลลินี 500 ก.","","1","GO","135","1","2026-08-06","GO: ออตติมา เส้นคาเปลลินี 500 ก."
"แสงทอง น้ำตาลมะพร้าวก้นหอย 1,000 ก.","","1","GO","130","1","2026-06-07","GO: แสงทอง น้ำตาลมะพร้าวก้นหอย 1,000 ก."
"มันเทศสีม่วง","","1","Freshket","130","1","2026-08-18","Freshket: มันเทศสีม่วง"
"มะละกอฮอลแลนด์สุก 1 กก./ลูก 1 ลูก/แพ็ค","","1","Freshket","130","1","2026-08-20","Freshket: มะละกอฮอลแลนด์สุก 1 กก./ลูก 1 ลูก/แพ็ค"
"ฟองฟอง ฟองเต้าหู้แท่ง 500 ก.","","1","GO","129","1","2026-06-09","GO: ฟองฟอง ฟองเต้าหู้แท่ง 500 ก."
"เพนเน่ พาสต้า/พาสต้ารูปหลอดปลายตัดเฉียง ตราซาน เรโม เบอร์ 18","","1","Freshket","129","1","2026-08-16","Freshket: เพนเน่ พาสต้า/พาสต้ารูปหลอดปลายตัดเฉียง ตราซาน เรโม เบอร์ 18"
"ค้อตเตจชีส ตราออลลี","","1","Freshket","121","1","2026-09-13","Freshket: ค้อตเตจชีส ตราออลลี"
"ผงทําข้าวหมกไก่ ตราโลโบ","","1","Freshket","120","1","2026-08-12","Freshket: ผงทําข้าวหมกไก่ ตราโลโบ"
"เอ็มบอร์ก เกรทเต็ดพาเมซาน 100 ก.","","1","GO","119","1","2026-07-16","GO: เอ็มบอร์ก เกรทเต็ดพาเมซาน 100 ก."
"ถุงม้วนปรุไฮเดนใส ตราซุปเปอร์เซฟ ขนาด 10X15 นิ้ว","","1","GO","119","1","2026-07-30","GO: ถุงม้วนปรุไฮเดนใส ตราซุปเปอร์เซฟ ขนาด 10X15 นิ้ว"
"องุ่นแดงไร้เมล็ด จีน แพ็ค 800 ก.","","1","GO","119","1","2026-08-08","GO: องุ่นแดงไร้เมล็ด จีน แพ็ค 800 ก."
"ฉั่วฮะเส็ง น้ำพริกเผา สูตร 1 900 ก.","","1","GO","118","1","2026-07-11","GO: ฉั่วฮะเส็ง น้ำพริกเผา สูตร 1 900 ก."
"พริกเกาหลีแบบ่ปนหยาบสําหรับทํากิมจิ ตราชองจองวอน","","1","Freshket","116","1","2026-08-12","Freshket: พริกเกาหลีแบบ่ปนหยาบสําหรับทํากิมจิ ตราชองจองวอน"
"แม็กกาแรต ข้าวโอ๊ตละเอียด 1 กก.","","1","GO","110","1","2026-06-10","GO: แม็กกาแรต ข้าวโอ๊ตละเอียด 1 กก."
"เห็ดแชมปิญองหันบางแช่แข็ง ตราเอโร่","","1","Freshket","109","1","2026-09-02","Freshket: เห็ดแชมปิญองหันบางแช่แข็ง ตราเอโร่"
"น้าพริกเผา สูตร1 ตราฉัวฮะเส็ง","","1","Freshket","102","1","2026-08-19","Freshket: น้าพริกเผา สูตร1 ตราฉัวฮะเส็ง"
"เลือดหมูแบบหลอด ตราเบทาโกร 6x210 กรัม/แพ็ค","","1","Freshket","102","1","2026-09-14","Freshket: เลือดหมูแบบหลอด ตราเบทาโกร 6x210 กรัม/แพ็ค"
"ช้างสามเศียร แป้งข้าวเหนียว 1 กก.","","1","GO","100","1","2026-07-23","GO: ช้างสามเศียร แป้งข้าวเหนียว 1 กก."
"น้าพริกแกงเขียวหวานเผ็ดกลางแบบละเอียด ตราร้านเจ้๊ปุ","","1","Freshket","100","1","2026-07-01","Freshket: น้าพริกแกงเขียวหวานเผ็ดกลางแบบละเอียด ตราร้านเจ้๊ปุ"
"ซูปเปอร์ แก๊สบิวเทน แก๊สกระป๋อง 250 ก. x 3","","1","GO","99","1","2026-05-28","GO: ซูปเปอร์ แก๊สบิวเทน แก๊สกระป๋อง 250 ก. x 3"
"มันหวานสายพันธุ์ญี่ปุ่นสีม่วง 1 กก.","","1","GO","99","1","2026-07-11","GO: มันหวานสายพันธุ์ญี่ปุ่นสีม่วง 1 กก."
"ชะอม แพ็ค 300 ก.","","1","GO","98","1","2026-06-27","GO: ชะอม แพ็ค 300 ก."
"ออตติมา เฟตตูชินี่ พาสต้า 500 ก.","","1","GO","98","1","2026-08-04","GO: ออตติมา เฟตตูชินี่ พาสต้า 500 ก."
"น้าตาลปีบ","","1","Freshket","98","1","2026-09-02","Freshket: น้าตาลปีบ"
"สาหร่ายทะเลแห้ง 100 ก.","","1","GO","95","1","2026-07-13","GO: สาหร่ายทะเลแห้ง 100 ก."
"เอสแอนด์บี แกงกะหรี่ก้อนเผ็ด 200 ก.","","1","GO","95","1","2026-08-04","GO: เอสแอนด์บี แกงกะหรี่ก้อนเผ็ด 200 ก."
"น้าพริกแกงส้มแบบละเอียด ตราร้านเจ้๊ปุ","","1","Freshket","94","1","2026-08-10","Freshket: น้าพริกแกงส้มแบบละเอียด ตราร้านเจ้๊ปุ"
"ซุปเปอร์เซฟ ถุงมือพลาสติกสีฟ้า พีอี พับทีละ 2 ชิ้น","","1","GO","93","1","2026-06-21","GO: ซุปเปอร์เซฟ ถุงมือพลาสติกสีฟ้า พีอี พับทีละ 2 ชิ้น"
"สุบากิ วูสเตอร์ซอส 1 ล.","","1","GO","92","1","2026-05-31","GO: สุบากิ วูสเตอร์ซอส 1 ล."
"ลูกเดือย 500 ก.","","1","GO","92","1","2026-06-09","GO: ลูกเดือย 500 ก."
"น้ายาล้างจาน กลินมะนาว ตราเซพแพ็ค","","1","Freshket","92","1","2026-08-19","Freshket: น้ายาล้างจาน กลินมะนาว ตราเซพแพ็ค"
"ถัวลิสงมีเยือหุ้ม ตราไร่ทิพย์ (ห่อสีน้าเงิน)","","1","Freshket","92","1","2026-09-05","Freshket: ถัวลิสงมีเยือหุ้ม ตราไร่ทิพย์ (ห่อสีน้าเงิน)"
"ทาเบรุ สาหร่ายทะเลวากาเมะอบแห้ง 100 ก.","","1","GO","90","1","2026-06-21","GO: ทาเบรุ สาหร่ายทะเลวากาเมะอบแห้ง 100 ก."
"ปาปริก้า่ปน ตรามือที1","","1","Freshket","90","1","2026-09-13","Freshket: ปาปริก้า่ปน ตรามือที1"
"เอ็นที ปืนจุดแก๊ส x 3","","1","GO","89","1","2026-05-28","GO: เอ็นที ปืนจุดแก๊ส x 3"
"ทาเบรุ สาหร่ายทะเลคอมบุอบแห้ง 100 ก.","","1","GO","88","1","2026-07-13","GO: ทาเบรุ สาหร่ายทะเลคอมบุอบแห้ง 100 ก."
"ใบหยก แป้งมันสำปะหลัง 1 กก.","","1","GO","84","1","2026-08-11","GO: ใบหยก แป้งมันสำปะหลัง 1 กก."
"ถัวลันเตาแบน","","1","Freshket","84","1","2026-09-05","Freshket: ถัวลันเตาแบน"
"ดีไลท์ พลัส อีริทริทอลผสมหล่อฮังก้วย ตราลิน","","1","Freshket","83","1","2026-08-12","Freshket: ดีไลท์ พลัส อีริทริทอลผสมหล่อฮังก้วย ตราลิน"
"เคซีเอฟ ไข่เค็มต้ม แพ็ค 4 ฟอง","","1","GO","82","1","2026-08-08","GO: เคซีเอฟ ไข่เค็มต้ม แพ็ค 4 ฟอง"
"อัมพวา กะทิแท้ 100% Prisma 1 ล.","","1","GO","79","1","2026-08-11","GO: อัมพวา กะทิแท้ 100% Prisma 1 ล."
"คาอิโซ เส้นแก้ว 300 ก.","","1","GO","78","1","2026-07-23","GO: คาอิโซ เส้นแก้ว 300 ก."
"ฟิกเกอร์ ตะหลิวไนลอน ทนร้อน 210 องศา สีดำ รุ่น NSP001","","1","GO","76","1","2026-06-09","GO: ฟิกเกอร์ ตะหลิวไนลอน ทนร้อน 210 องศา สีดำ รุ่น NSP001"
"แอคเนซี พาสต้า เพนเน่ ริกาเต้ เบอร์ 19 500 ก.","","1","GO","76","1","2026-08-01","GO: แอคเนซี พาสต้า เพนเน่ ริกาเต้ เบอร์ 19 500 ก."
"พริกชีฟ้าเหลือง (เด็ดก้าน)","","1","Freshket","76","1","2026-08-19","Freshket: พริกชีฟ้าเหลือง (เด็ดก้าน)"
"ผักกาดแก้ว คัดสวย (นําเข้า)","","1","Freshket","76","1","2026-09-15","Freshket: ผักกาดแก้ว คัดสวย (นําเข้า)"
"เห็ดออรินจิ ขนาดเล็ก","","1","Freshket","75","1","2026-09-14","Freshket: เห็ดออรินจิ ขนาดเล็ก"
"แป้งมันสําปะหลัง ตราใบหยก","","1","Freshket","73","1","2026-07-20","Freshket: แป้งมันสําปะหลัง ตราใบหยก"
"แป้งสาลีอเนกประสงค์ ตราว่าว","","1","Freshket","71","1","2026-09-15","Freshket: แป้งสาลีอเนกประสงค์ ตราว่าว"
"เอ็นที ชุดช้อนตวงสแตนเลส 4 ขนาด","","1","GO","70","1","2026-06-09","GO: เอ็นที ชุดช้อนตวงสแตนเลส 4 ขนาด"
"ขมิ้น ผง 200 ก.","","1","GO","68","1","2026-07-04","GO: ขมิ้น ผง 200 ก."
"เซเลอรี่นอก 1 กก.","","1","GO","65","1","2026-06-29","GO: เซเลอรี่นอก 1 กก."
"ยอดมะพร้าวอ่อน","","1","Freshket","65","1","2026-08-10","Freshket: ยอดมะพร้าวอ่อน"
"ซีไอ เต้าหู้ขาว 200 ก.","","1","GO","63","1","2026-06-18","GO: ซีไอ เต้าหู้ขาว 200 ก."
"เอ ชอยซ์ เกล็ดขนมปัง 1 กก.","","1","GO","62","1","2026-06-29","GO: เอ ชอยซ์ เกล็ดขนมปัง 1 กก."
"ใบหยก แป้งข้าวจ้าว 1 กก.","","1","GO","62","1","2026-07-15","GO: ใบหยก แป้งข้าวจ้าว 1 กก."
"เกลือบริโภคเสริมไอโอดีน ตราปรุงทิพย์/เกลือปรุงทิพย์","","1","Freshket","61","1","2026-09-15","Freshket: เกลือบริโภคเสริมไอโอดีน ตราปรุงทิพย์/เกลือปรุงทิพย์"
"มะเขือยาว 1 กก.","","1","GO","59","1","2026-07-29","GO: มะเขือยาว 1 กก."
"เอ ชอยซ์ ถั่วลันเตาแช่แข็ง 1 กก.","","1","GO","59","1","2026-08-09","GO: เอ ชอยซ์ ถั่วลันเตาแช่แข็ง 1 กก."
"น้ำใจ พริกแกง พะแนง 500 ก.","","1","GO","58","1","2026-05-30","GO: น้ำใจ พริกแกง พะแนง 500 ก."
"เมจิ โยเกิร์ตไม่เติมน้ำตาล รสธรรมชาติ 135 ก. x 4","","1","GO","58","1","2026-08-02","GO: เมจิ โยเกิร์ตไม่เติมน้ำตาล รสธรรมชาติ 135 ก. x 4"
"เอ ชอยซ์ ซอสพริก 1,000 ก.","","1","GO","54","1","2026-06-27","GO: เอ ชอยซ์ ซอสพริก 1,000 ก."
"ดัชชี่ โพรไบโอติก โยเกิร์ต รสออริจินัล 125 ก. x 4","","1","GO","53","1","2026-08-09","GO: ดัชชี่ โพรไบโอติก โยเกิร์ต รสออริจินัล 125 ก. x 4"
"พริกแกงคัวกลิง","","1","Freshket","52","1","2026-09-05","Freshket: พริกแกงคัวกลิง"
"สาลี่น้ำผึ้ง 1 กก.","","1","GO","49","1","2026-07-14","GO: สาลี่น้ำผึ้ง 1 กก."
"มันหวาน ซิลค์สวีท แพ็ค 500 ก.","","1","GO","45","1","2026-07-23","GO: มันหวาน ซิลค์สวีท แพ็ค 500 ก."
"เต้าหู้ไข่ ตราเกษตร 5x105 กรัม/แพ็ค","","1","Freshket","44","1","2026-09-14","Freshket: เต้าหู้ไข่ ตราเกษตร 5x105 กรัม/แพ็ค"
"เอ ชอยซ์ น้ำส้มสายชูหมักข้าว 1 ล.","","1","GO","43","1","2026-08-11","GO: เอ ชอยซ์ น้ำส้มสายชูหมักข้าว 1 ล."
"แป้งข้าวเหนียว ตราใบหยก","","1","Freshket","43","1","2026-07-06","Freshket: แป้งข้าวเหนียว ตราใบหยก"
"สีผสมอาหาร (สีเขียวแอปเปิล) ตราวินเนอร์","","1","Freshket","41","2","2026-09-05","Freshket: สีผสมอาหาร (สีเขียวแอปเปิล) ตราวินเนอร์ | Freshket: สีผสมอาหาร (สีแดงส้ม) ตราวินเนอร์"
"ช้อนทอง เต้าหู้ไข่ไก่ 120 ก. x 5","","1","GO","40","1","2026-07-22","GO: ช้อนทอง เต้าหู้ไข่ไก่ 120 ก. x 5"
"บีทรูท","","1","Freshket","34","1","2026-08-20","Freshket: บีทรูท"
"มะละกอดิบ 1 กก.","","1","GO","29","1","2026-07-04","GO: มะละกอดิบ 1 กก."
"พริกเหลือง แพ็ค 100 ก.","","1","GO","29","1","2026-07-27","GO: พริกเหลือง แพ็ค 100 ก."
"กระชายฝอย แพ็ค 200 ก.","","1","GO","25","1","2026-07-19","GO: กระชายฝอย แพ็ค 200 ก."
"กระดูกข้อขาหมู 1 กก.","","1","GO","24","1","2026-08-05","GO: กระดูกข้อขาหมู 1 กก."
"กุยช่าย","","1","Freshket","23","1","2026-09-05","Freshket: กุยช่าย"
"ปวยเล้งนอก 200 ก.","","1","GO","20","1","2026-07-22","GO: ปวยเล้งนอก 200 ก."
"คะน้าขนาดกลาง","","1","Freshket","15","1","2026-07-01","Freshket: คะน้าขนาดกลาง"
