"วัตถุดิบ","ทุกกี่วัน","สั่งกี่วัน","ร้าน","ยอดรวม","กี่ชื่อ","ล่าสุด","ชื่อทั้งหมด"
"จริงใจ แปะก๊วยต้มสุกในน้ำเชื่อม 500 ก.","23","4","GO","765","1","2026-08-04","GO: จริงใจ แปะก๊วยต้มสุกในน้ำเชื่อม 500 ก."
"พริกจินดาแดง","23","4","Freshket","175","1","2026-09-12","Freshket: พริกจินดาแดง"
"สับปะรดศรีราชา 1 ลูก","24","4","GO","172","2","2026-08-08","GO: สับปะรดศรีราชา 1 ลูก | GO: สับปะรดตราดสีทอง 1 ลูก"
"ตรามือที่ 1 พาร์สลีย์ 50 ก.","24","3","GO","167","2","2026-08-04","GO: ตรามือที่ 1 พาร์สลีย์ 50 ก. | GO: พาร์สลีย์ แพ็ค 200 ก."
"หอมแขกจีน แพ็ค 1 กก.","24","2","GO+Freshket","79","2","2026-07-25","GO: หอมแขกจีน แพ็ค 1 กก. | Freshket: หอมแขก"
"ข่าแก่","25","4","Freshket+GO","160","3","2026-09-07","Freshket: ข่าแก่ | GO: ข่าแก่ 1 กก. | Freshket: ข่าแก่ คัดสวย"
"แอปเปิ้ลฟูจิ #113 แพ็ค 8 ลูก","26","3","GO","229","1","2026-07-22","GO: แอปเปิ้ลฟูจิ #113 แพ็ค 8 ลูก"
"เอ ชอยซ์ น้ำมะนาวแช่แข็ง พันธุ์แป้น 1 กก.","27","3","GO","1650","1","2026-07-18","GO: เอ ชอยซ์ น้ำมะนาวแช่แข็ง พันธุ์แป้น 1 กก."
"ข้าว กข43 ตราฉัตรไลท์ 6 X","28","2","Freshket","1367","2","2026-09-08","Freshket: ข้าว กข43 ตราฉัตรไลท์ 6 X | Freshket: ข้าว กข43 ตราฉัตรไลท์"
"แวลู แพ็ค เม็ดมะม่วงหิมพานต์ดิบชนิดหักท่อน LP 1 กก.","28","2","GO","450","1","2026-07-16","GO: แวลู แพ็ค เม็ดมะม่วงหิมพานต์ดิบชนิดหักท่อน LP 1 กก."
"สับปะรดปัตตาเวีย ขนาด 800-1,000 กรัม/ลูก 1 ลูก/แพ็ค","28","2","Freshket","80","1","2026-08-17","Freshket: สับปะรดปัตตาเวีย ขนาด 800-1,000 กรัม/ลูก 1 ลูก/แพ็ค"
"ใบมะกรูดเด็ดก้าน แพ็ค 50 ก.","29","4","GO+Freshket","40","2","2026-09-02","GO: ใบมะกรูดเด็ดก้าน แพ็ค 50 ก. | Freshket: ใบมะกรูด คัดสวย"
"เอ ชอยซ์ ถุงมือพลาสติกอเนกประสงค์ x 100","30","3","GO","585","1","2026-07-30","GO: เอ ชอยซ์ ถุงมือพลาสติกอเนกประสงค์ x 100"
"เอชอยซ์ สาหร่ายวากาเมะ 220 ก.","31","2","GO","353","1","2026-08-05","GO: เอชอยซ์ สาหร่ายวากาเมะ 220 ก."
"กุนเชียงหมู ตราเจ๊หงษ์","32","3","Freshket","781","2","2026-09-16","Freshket: กุนเชียงหมู ตราเจ๊หงษ์ | Freshket: กุนเชียงหมู ตราเจ๊เล็ก"
"แอคเนซี พาสต้า คาเปลลินี เบอร์ 1 500 ก.","32","2","GO","481","1","2026-06-29","GO: แอคเนซี พาสต้า คาเปลลินี เบอร์ 1 500 ก."
"คุณเฮง เต้าหู้ขาวแข็ง 150 ก.","35","2","GO","270","1","2026-08-02","GO: คุณเฮง เต้าหู้ขาวแข็ง 150 ก."
"ปรุงทิพย์ เกลือ 5 กก.","35","2","GO","110","1","2026-08-02","GO: ปรุงทิพย์ เกลือ 5 กก."
"แอปเปิลแดงฟูจิ 10 ลูก/แพ็ค","38","3","Freshket","244","2","2026-09-14","Freshket: แอปเปิลแดงฟูจิ 10 ลูก/แพ็ค | Freshket: แอปเปิลแดงฟูจิ เบอร์ 80 2 ลูก/แพ็ค"
"แสนดี ข้าวไรซ์เบอร์รี่ 100% 5 กก.","39","3","GO","3708","1","2026-08-10","GO: แสนดี ข้าวไรซ์เบอร์รี่ 100% 5 กก."
"พริกชี้ฟ้า แห้ง เด็ดก้าน 100 ก.","39","3","GO+Freshket","133","3","2026-09-09","GO: พริกชี้ฟ้า แห้ง เด็ดก้าน 100 ก. | GO: พริกชี้ฟ้า แห้ง 100 ก. | Freshket: พริกชีฟ้าแห้ง (เด็ดก้าน)"
"พริกชี้ฟ้าเขียว แพ็ค 300 ก.","40","3","GO+Freshket","81","3","2026-09-16","GO: พริกชี้ฟ้าเขียว แพ็ค 300 ก. | Freshket: พริกชีฟ้าเขียว คัดสวย | Freshket: พริกชีฟ้าเขียว"
"เอ ชอยซ์ งาดำ 500 ก.","42","2","GO","300","1","2026-08-09","GO: เอ ชอยซ์ งาดำ 500 ก."
"เอ ชอยซ์ งาขาว 500 ก.","42","2","GO","268","1","2026-08-09","GO: เอ ชอยซ์ งาขาว 500 ก."
"ถั่วลันเตาหวานนอก แพ็ค 300 ก.","45","2","GO+Freshket","159","2","2026-09-15","GO: ถั่วลันเตาหวานนอก แพ็ค 300 ก. | Freshket: ถัวลันเตาหวาน"
"ซีโครงหมูหันชิน","48","3","Freshket+GO","613","2","2026-09-14","Freshket: ซีโครงหมูหันชิน | GO: ซี่โครงหมูหั่นชิ้น 1 กก."
"ตับไก่ 1 กก.","48","3","GO+Freshket","323","2","2026-09-14","GO: ตับไก่ 1 กก. | Freshket: ตับไก่ ตราเบทาโกร (แช่แข็ง)"
"เอ ชอยซ์ ซอสมะเขือเทศ 5,000 ก.","48","2","GO","295","1","2026-07-19","GO: เอ ชอยซ์ ซอสมะเขือเทศ 5,000 ก."
"เครสโป มะกอกดำ ไม่มีเมล็ด 387 ก.","54","2","GO","209","1","2026-08-04","GO: เครสโป มะกอกดำ ไม่มีเมล็ด 387 ก."
"เอ ชอยซ์ เมล็ดข้าวโพดหวานแช่แข็ง 1 กก.","54","2","GO+Freshket","187","2","2026-09-15","GO: เอ ชอยซ์ เมล็ดข้าวโพดหวานแช่แข็ง 1 กก. | Freshket: เมล็ดข้าวโพดหวาน (แช่แข็ง)"
"เอ ชอยซ์ ถั่วลิสง 500 ก. x 10","59","2","GO","499","2","2026-08-01","GO: เอ ชอยซ์ ถั่วลิสง 500 ก. x 10 | GO: เอ ชอยซ์ ถั่วลิสง 1,000 ก."
"แป้งข้าวเจ้า ตราใบหยก","61","2","Freshket","98","1","2026-09-05","Freshket: แป้งข้าวเจ้า ตราใบหยก"
"ปลาซาบะแล่แช่แข็ง 1 กก. x 10","70","2","GO","2875","2","2026-08-11","GO: ปลาซาบะแล่แช่แข็ง 1 กก. x 10 | GO: ปลาซาบะแล่แช่แข็ง แพ็ค 1 กก."
"โคโฮแซลมอนแล่แช่แข็ง (Trim-C) 0.8-2.0 กก./แพ็ค","","1","GO","6020","1","2026-08-05","GO: โคโฮแซลมอนแล่แช่แข็ง (Trim-C) 0.8-2.0 กก./แพ็ค"
"เอ ชอยซ์ เนื้อทูน่าซากุ 1 กก.","","1","GO","1947","1","2026-08-09","GO: เอ ชอยซ์ เนื้อทูน่าซากุ 1 กก."
"เนื้อทูน่าซากุแช่แข็ง ขนาด 500 ก.","","1","GO","1600","1","2026-05-26","GO: เนื้อทูน่าซากุแช่แข็ง ขนาด 500 ก."
"ออร์คิด เนยเพียวบัตเตอร์จืด 2 กก.","","1","GO","798","1","2026-06-30","GO: ออร์คิด เนยเพียวบัตเตอร์จืด 2 กก."
"เผือก ถุงใหญ่ 9.5-10.5 กก./แพ็ค","","1","GO","590","1","2026-06-10","GO: เผือก ถุงใหญ่ 9.5-10.5 กก./แพ็ค"
"กุ้งแห้งจืด","","1","Freshket","514","1","2026-08-10","Freshket: กุ้งแห้งจืด"
"คาซา รินัลดิ น้ำมันมะกอกธรรมชาติ เอ็กซ์ตร้าเวอร์จิ้น 1 ล.","","1","GO","490","1","2026-07-28","GO: คาซา รินัลดิ น้ำมันมะกอกธรรมชาติ เอ็กซ์ตร้าเวอร์จิ้น 1 ล."
"โปรเซฟ ผลิตภัณฑ์ล้างจาน 10 ล.","","1","GO","430","1","2026-06-01","GO: โปรเซฟ ผลิตภัณฑ์ล้างจาน 10 ล."
"เอ ชอยซ์ เห็ดหอม แห้ง ดอกเล็ก 500 ก.","","1","GO","420","1","2026-06-27","GO: เอ ชอยซ์ เห็ดหอม แห้ง ดอกเล็ก 500 ก."
"บ้านไผ่ กุนเชียงเชือกฟ้า 125 ก. x 3","","1","GO","405","1","2026-06-03","GO: บ้านไผ่ กุนเชียงเชือกฟ้า 125 ก. x 3"
"ควินัวขาว ออแกนิค ตรากรีนไล์ฟ 1 กิโลกรัม","","1","Freshket","395","1","2026-08-16","Freshket: ควินัวขาว ออแกนิค ตรากรีนไล์ฟ 1 กิโลกรัม"
"ไทยเดนมาร์ค นมโคยูเอชที รสจืด 180 มล. x 36","","1","GO","358","1","2026-06-01","GO: ไทยเดนมาร์ค นมโคยูเอชที รสจืด 180 มล. x 36"
"ตราชั่ง กะปิ 185 ก. x 6","","1","GO","355","1","2026-07-14","GO: ตราชั่ง กะปิ 185 ก. x 6"
"เครืองแกงกะหรีสูตรเผ็ดกลาง ตราเอสแอนด์บี","","1","Freshket","333","1","2026-08-17","Freshket: เครืองแกงกะหรีสูตรเผ็ดกลาง ตราเอสแอนด์บี"
"เนื้อลูกมะพร้าววัวออสเตรเลียบด ขนาด 300-500 ก./แพ็ค","","1","GO","332","1","2026-07-14","GO: เนื้อลูกมะพร้าววัวออสเตรเลียบด ขนาด 300-500 ก./แพ็ค"
"เอ ชอยซ์ ข้าวเหนียว 5 กก.","","1","GO","330","1","2026-06-14","GO: เอ ชอยซ์ ข้าวเหนียว 5 กก."
"ซุปเปอร์เซฟ ถุงขยะดำหนา 30 x 40 นิ้ว 1 กก.","","1","GO","316","2","2026-08-10","GO: ซุปเปอร์เซฟ ถุงขยะดำหนา 30 x 40 นิ้ว 1 กก. | GO: ซุปเปอร์เซฟ ถุงขยะดำหนา 36 x 45 นิ้ว 1 กก."
"ซุปเปอร์เซฟ ฟิล์มยืดหุ้มห่ออาหาร 10 นิ้ว x 500 ม.","","1","GO","305","1","2026-06-04","GO: ซุปเปอร์เซฟ ฟิล์มยืดหุ้มห่ออาหาร 10 นิ้ว x 500 ม."
"ตรามือที่ 1 พริกไทยดำ ป่น 500 ก.","","1","GO","299","1","2026-05-30","GO: ตรามือที่ 1 พริกไทยดำ ป่น 500 ก."
"แอคเนซี พาสต้า สปาเก็ตตี้ เบอร์ 3 500 ก.","","1","GO","284","1","2026-06-04","GO: แอคเนซี พาสต้า สปาเก็ตตี้ เบอร์ 3 500 ก."
"ซุปเปอร์เซฟ ถุงเย็น HDPE 6 x 9 นิ้ว บรรจุ 1 กก.","","1","GO","278","2","2026-06-07","GO: ซุปเปอร์เซฟ ถุงเย็น HDPE 6 x 9 นิ้ว บรรจุ 1 กก. | GO: ซุปเปอร์เซฟ ถุงเย็น HDPE 12 x 18 นิ้ว บรรจุ 1 กก."
"บาบู ควีนัว 3 สี 450 ก.","","1","GO","275","1","2026-07-23","GO: บาบู ควีนัว 3 สี 450 ก."
"แสนดี ข้าวหอมมะลิ 100% 5 กก.","","1","GO","264","1","2026-07-27","GO: แสนดี ข้าวหอมมะลิ 100% 5 กก."
